Devanagari,IAST
0x902,ṃ
0x903,ḥ
0x905,a
0x906,ā
0x907,i
0x908,ī
0x909,u
0x90a,ū
0x90f,e
0x910,ai
0x913,o
0x914,au
0x90b,ṛ
0x960,ṝ
0x90c,ḷ
0x961,ḹ
0x915,k
0x916,kh
0x917,g
0x918,gh
0x919,ṅ
0x91a,c
0x91b,ch
0x91c,j
0x91d,jh
0x91e,ñ
0x91f,ṭ
0x920,ṭh
0x921,ḍ
0x922,ḍh
0x923,ṇ
0x924,t
0x925,th
0x926,d
0x927,dh
0x928,n
0x92a,p
0x92b,ph
0x92c,b
0x92d,bh
0x92e,m
0x92f,y
0x930,r
0x932,l
0x933,ḷ
0x935,v
0x936,ś
0x937,ṣ
0x938,s
0x939,h
0x93d,
0x93e,ā
0x93f,i
0x940,ī
0x941,u
0x942,ū
0x947,e
0x948,ai
0x94b,o
0x94c,au
0x943,ṛ
0x944,ṝ
0x962,ḷ
0x963,ḹ
0x951,f
0x951,f